subj_age_group,stop_resolution,weapon,off_gender,off_race,subj_perceived_race,subj_perceived_gender,call_type,frisk_flag,beat,date,off_age
18 - 25,0,None,0,White,Black or African American,0,0,0,F,2019,46
18 - 25,1,None,0,White,Asian,1,0,0,K,2019,33
18 - 25,1,None,0,White,White,1,1,0,M,2020,34
18 - 25,0,None,0,Asian,White,0,1,0,K,2019,33
18 - 25,1,None,0,White,Asian,1,0,0,D,2020,27
18 - 25,1,None,0,White,White,0,None,1,U,2019,45
18 - 25,0,None,0,White,White,1,0,0,C,2019,28
18 - 25,0,None,1,White,White,0,0,0,O,2019,28
18 - 25,0,None,0,White,White,1,0,0,D,2019,30
18 - 25,1,None,0,Hispanic or Latino,Black or African American,0,0,1,S,2019,27
18 - 25,0,None,0,White,White,1,0,0,D,2019,26
18 - 25,0,None,1,Two or More Races,White,0,0,1,R,2019,29
18 - 25,0,None,0,White,White,1,0,0,W,2019,56
18 - 25,1,None,0,Two or More Races,White,0,0,0,U,2019,24
18 - 25,0,None,0,American Indian/Alaska Native,White,1,0,1,E,2019,40
18 - 25,0,None,0,White,White,0,0,0,N,2019,28
18 - 25,1,None,1,White,Black or African American,1,0,0,D,2020,27
18 - 25,1,None,0,White,Black or African American,0,0,1,S,2019,24
18 - 25,0,None,1,White,Black or African American,0,1,0,D,2020,25
18 - 25,0,None,0,White,Black or African American,0,0,0,K,2020,33
18 - 25,1,Firearm,0,White,White,0,0,1,M,2020,28
18 - 25,0,None,0,White,White,1,1,0,E,2020,33
18 - 25,0,None,0,White,Black or African American,0,None,0,U,2020,38
18 - 25,0,None,0,White,White,0,0,0,E,2019,33
18 - 25,0,None,0,White,American Indian or Alaska Native,1,None,1,S,2020,34
18 - 25,0,None,0,White,White,1,0,0,J,2019,27
18 - 25,1,None,0,Two or More Races,White,0,0,0,M,2019,30
18 - 25,1,None,0,Hispanic or Latino,White,0,0,0,F,2019,29
18 - 25,0,None,1,Hispanic or Latino,Black or African American,0,1,0,S,2019,24
18 - 25,0,None,0,White,White,0,0,0,Q,2020,26
18 - 25,0,None,0,White,White,1,1,0,M,2020,24
18 - 25,0,None,0,White,Black or African American,0,1,0,M,2019,31
18 - 25,0,None,0,White,Black or African American,1,1,0,U,2019,26
18 - 25,0,None,0,White,Black or African American,0,0,1,E,2019,25
18 - 25,0,None,1,White,Black or African American,0,0,0,L,2020,29
18 - 25,1,None,0,White,White,1,0,0,Q,2019,24
18 - 25,1,None,0,White,Black or African American,1,1,1,S,2020,27
18 - 25,0,None,1,Two or More Races,Native Hawaiian or Other Pacific Islander,0,0,1,U,2020,28
18 - 25,0,None,1,White,Black or African American,1,1,0,K,2020,44
18 - 25,0,None,0,White,Black or African American,0,1,1,E,2020,36
18 - 25,0,None,0,White,White,1,0,0,D,2020,31
18 - 25,0,None,1,Two or More Races,Native Hawaiian or Other Pacific Islander,0,0,1,U,2020,28
18 - 25,0,None,0,White,White,0,0,1,K,2020,29
18 - 25,1,Blunt Object,0,White,Black or African American,0,0,1,K,2020,23
18 - 25,0,None,0,White,Black or African American,0,1,0,M,2020,31
18 - 25,1,Blunt Object,0,White,White,0,0,1,U,2020,30
18 - 25,0,None,0,White,White,1,0,0,U,2020,50
18 - 25,1,None,0,White,White,0,0,0,D,2020,44
18 - 25,1,None,0,White,White,0,1,0,M,2020,24
18 - 25,0,None,0,Hispanic or Latino,Native Hawaiian or Other Pacific Islander,0,0,1,F,2020,30
18 - 25,0,None,0,White,White,0,0,0,F,2019,28
18 - 25,0,None,0,White,Black or African American,0,0,1,U,2020,29
18 - 25,0,None,0,White,Black or African American,0,1,1,O,2019,33
18 - 25,0,None,0,White,White,0,1,0,M,2019,28
18 - 25,0,None,0,White,White,0,0,0,U,2020,23
18 - 25,0,None,0,White,Black or African American,1,1,0,Q,2020,41
18 - 25,1,None,0,White,Black or African American,1,1,0,S,2020,30
18 - 25,0,None,0,White,White,0,0,0,D,2020,35
18 - 25,0,None,0,White,White,0,1,1,O,2020,49
18 - 25,0,None,1,Two or More Races,Native Hawaiian or Other Pacific Islander,0,0,1,U,2020,28
18 - 25,0,None,0,White,Asian,0,0,0,F,2020,38
18 - 25,1,None,0,White,Black or African American,0,0,0,D,2020,33
18 - 25,0,None,0,White,White,0,1,0,M,2020,31
18 - 25,0,None,0,Hispanic or Latino,White,0,0,1,W,2020,37
18 - 25,1,None,0,White,Black or African American,0,1,0,E,2020,34
18 - 25,0,None,0,White,White,0,0,1,J,2020,41
18 - 25,0,None,0,Hispanic or Latino,Black or African American,1,0,0,S,2020,35
18 - 25,0,None,0,White,White,0,1,0,E,2020,30
18 - 25,1,None,0,White,Asian,1,0,0,B,2020,30
18 - 25,0,None,0,White,Black or African American,0,0,1,M,2020,23
18 - 25,0,None,0,White,Black or African American,1,None,0,S,2020,25
18 - 25,0,None,0,White,White,1,1,0,S,2020,27
18 - 25,1,None,0,White,Asian,1,0,1,Q,2020,39
18 - 25,1,None,0,White,White,0,0,0,M,2020,37
18 - 25,0,None,0,White,White,1,0,0,U,2020,29
18 - 25,1,None,0,White,Black or African American,0,0,0,S,2020,32
18 - 25,0,None,0,Hispanic or Latino,Black or African American,1,1,0,J,2020,33
18 - 25,0,None,0,Asian,White,1,0,0,O,2020,24
18 - 25,0,None,0,White,Black or African American,0,0,0,D,2020,39
18 - 25,0,None,0,White,Black or African American,0,0,1,M,2020,28
18 - 25,1,None,0,White,Asian,1,0,0,D,2020,44
18 - 25,0,None,0,White,Black or African American,0,0,0,K,2020,42
18 - 25,0,None,0,White,White,1,0,0,B,2020,30
18 - 25,0,None,0,White,White,1,0,0,Q,2020,26
18 - 25,1,None,0,White,White,0,1,0,E,2020,33
18 - 25,0,None,0,White,White,1,0,0,M,2020,34
18 - 25,0,None,0,White,Black or African American,0,1,0,G,2020,36
18 - 25,0,None,1,White,Black or African American,1,1,1,R,2020,33
18 - 25,0,None,0,Hispanic or Latino,Black or African American,0,0,0,M,2020,33
18 - 25,1,Blade,0,White,White,0,0,1,D,2020,23
18 - 25,0,None,0,White,White,1,0,1,M,2020,39
18 - 25,0,None,0,White,White,0,0,1,B,2020,30
18 - 25,0,None,0,White,White,0,0,0,L,2020,30
18 - 25,0,None,0,White,White,1,0,1,M,2020,26
18 - 25,0,None,0,White,White,0,0,0,L,2020,29
18 - 25,0,None,0,White,Black or African American,0,1,0,R,2020,29
18 - 25,0,None,0,White,White,0,0,1,M,2020,35
18 - 25,0,None,0,White,White,1,1,0,N,2020,38
18 - 25,0,None,0,Asian,Black or African American,0,1,0,S,2020,24
18 - 25,1,None,0,White,Black or African American,0,0,1,S,2020,27
18 - 25,0,None,0,White,White,0,0,1,N,2020,52
18 - 25,0,None,0,White,Black or African American,0,1,0,G,2020,36
18 - 25,1,None,0,Two or More Races,White,0,0,0,Q,2020,27
18 - 25,0,None,0,White,Black or African American,0,0,0,M,2020,24
18 - 25,0,None,0,White,White,1,0,0,D,2020,26
18 - 25,1,None,0,White,White,1,0,0,M,2020,24
18 - 25,0,None,0,Hispanic or Latino,White,0,0,0,Q,2020,33
18 - 25,0,None,0,Asian,Black or African American,0,1,1,R,2020,40
18 - 25,1,None,0,White,White,0,0,0,R,2020,38
18 - 25,1,None,0,Hispanic or Latino,White,0,1,0,Q,2020,33
18 - 25,0,Non-Lethal,0,White,Black or African American,0,0,1,U,2020,29
18 - 25,1,Blunt Object,0,White,White,0,0,1,D,2020,23
18 - 25,0,None,0,White,Black or African American,0,0,0,Q,2020,31
18 - 25,0,None,0,Black or African American,White,0,1,0,M,2020,29
18 - 25,0,None,0,Hispanic or Latino,White,0,0,1,Q,2020,33
18 - 25,0,None,0,White,Black or African American,0,1,1,G,2020,28
18 - 25,0,None,0,White,White,0,0,0,G,2020,31
18 - 25,0,None,0,White,Black or African American,0,0,1,J,2020,28
18 - 25,1,None,0,Two or More Races,White,1,0,0,M,2020,31
18 - 25,0,None,0,White,White,0,0,1,O,2020,34
18 - 25,0,None,1,White,Black or African American,0,0,0,M,2020,38
18 - 25,0,None,1,White,Black or African American,0,0,0,M,2020,38
18 - 25,0,None,1,White,Black or African American,0,0,0,M,2020,38
18 - 25,0,Blade,0,White,Black or African American,0,0,1,N,2020,34
18 - 25,1,Blade,0,White,Asian,1,0,1,F,2020,36
18 - 25,1,None,0,Hispanic or Latino,White,0,1,0,Q,2020,33
18 - 25,1,Non-Lethal,0,White,White,0,0,1,D,2020,23
18 - 25,0,None,0,White,White,0,0,1,M,2020,39
18 - 25,0,None,0,White,Black or African American,0,1,0,G,2020,29
18 - 25,0,None,0,Asian,White,0,1,1,O,2020,38
18 - 25,0,None,0,White,White,0,1,0,K,2020,24
18 - 25,0,None,1,White,White,0,1,1,O,2020,44
18 - 25,0,None,0,White,Black or African American,0,0,0,U,2020,29
18 - 25,0,None,0,White,Asian,1,1,0,M,2020,23
18 - 25,0,None,0,Asian,Asian,0,0,0,Q,2020,34
18 - 25,0,None,0,White,Black or African American,0,0,0,E,2020,37
18 - 25,0,None,0,White,Black or African American,0,0,0,U,2020,29
18 - 25,0,None,0,Nat Hawaiian/Oth Pac Islander,White,0,0,0,U,2020,35
18 - 25,0,None,0,White,White,0,0,0,U,2020,38
18 - 25,0,None,0,White,White,1,0,0,B,2020,29
18 - 25,0,None,0,White,Black or African American,0,0,0,E,2020,34
18 - 25,0,None,0,White,White,0,1,0,E,2020,52
18 - 25,0,None,0,Hispanic or Latino,Black or African American,0,1,0,S,2020,28
18 - 25,0,None,1,White,White,0,0,0,M,2020,39
18 - 25,0,None,0,White,Native Hawaiian or Other Pacific Islander,1,1,0,K,2020,28
18 - 25,0,None,0,Two or More Races,Black or African American,0,None,1,E,2020,28
18 - 25,0,None,0,White,American Indian or Alaska Native,1,None,0,M,2020,44
18 - 25,1,None,0,White,Black or African American,0,1,0,N,2020,27
26 - 35,1,None,0,White,Black or African American,0,None,0,U,2015,35
26 - 35,1,None,0,White,White,1,None,0,M,2017,37
26 - 35,1,None,0,White,Multi-Racial,0,None,0,E,2016,37
26 - 35,1,None,0,White,Black or African American,1,None,0,K,2015,30
26 - 35,1,None,0,White,White,0,None,1,B,2016,42
26 - 35,0,None,0,White,Black or African American,1,None,1,M,2015,31
26 - 35,0,None,0,White,White,1,None,0,M,2015,38
18 - 25,0,None,0,White,Black or African American,0,0,0,D,2020,25
18 - 25,1,None,0,White,White,0,0,0,Q,2020,39
18 - 25,0,None,0,White,White,1,1,0,N,2020,38
18 - 25,0,None,0,Asian,White,0,1,0,R,2020,24
26 - 35,1,None,0,White,White,0,None,0,E,2015,31
26 - 35,1,None,0,White,Hispanic,0,None,0,S,2016,30
26 - 35,0,None,0,Nat Hawaiian/Oth Pac Islander,Black or African American,0,None,1,O,2018,36
26 - 35,1,None,0,American Indian/Alaska Native,White,0,None,0,D,2015,44
26 - 35,1,None,0,White,White,1,None,0,N,2017,24
26 - 35,0,None,0,White,White,0,None,1,F,2017,25
18 - 25,0,None,0,White,White,0,1,0,N,2020,38
18 - 25,0,None,0,White,White,0,1,0,D,2020,36
26 - 35,1,None,0,White,White,1,None,0,K,2017,37
26 - 35,1,None,0,White,Multi-Racial,1,None,0,R,2015,29
26 - 35,1,None,0,White,Black or African American,1,None,0,G,2015,30
26 - 35,0,None,0,White,Asian,0,None,0,U,2015,48
26 - 35,0,None,0,Black or African American,Black or African American,0,None,1,U,2015,52
18 - 25,0,None,0,White,White,0,0,1,U,2020,29
18 - 25,0,None,1,White,Black or African American,1,1,0,D,2020,27
18 - 25,0,None,1,White,Black or African American,0,1,0,L,2020,29
18 - 25,0,None,0,White,White,0,0,0,K,2020,35
18 - 25,0,None,0,White,Black or African American,0,1,0,R,2020,29
18 - 25,0,Blade,0,Asian,White,0,0,1,W,2020,60
18 - 25,1,None,1,White,White,0,0,0,M,2020,25
18 - 25,1,None,0,Hispanic or Latino,White,1,0,0,Q,2020,26
18 - 25,0,None,0,Hispanic or Latino,Black or African American,1,0,0,Q,2020,33
26 - 35,1,None,0,White,Hispanic,0,None,0,M,2015,42
26 - 35,1,None,0,White,White,0,None,1,J,2017,38
26 - 35,1,None,0,White,Black or African American,1,None,0,K,2015,30
26 - 35,1,None,0,White,Black or African American,0,None,0,K,2015,45
26 - 35,1,None,0,White,White,0,None,0,E,2015,38
26 - 35,1,None,1,White,White,1,0,0,N,2015,31
26 - 35,1,None,0,White,Black or African American,1,None,0,G,2015,30
26 - 35,0,None,0,Nat Hawaiian/Oth Pac Islander,White,1,None,0,W,2015,52
26 - 35,0,None,0,Asian,Hispanic,0,None,1,M,2015,29
26 - 35,1,None,0,Black or African American,Hispanic,1,None,0,U,2015,52
26 - 35,0,None,0,White,White,1,None,0,F,2015,25
26 - 35,0,None,0,White,Black or African American,0,None,0,W,2015,36
26 - 35,0,None,0,White,Black or African American,0,None,0,L,2015,31
26 - 35,0,None,0,Black or African American,Black or African American,0,None,1,L,2015,34
26 - 35,0,None,0,White,White,0,None,1,F,2015,25
26 - 35,0,None,0,White,Black or African American,0,None,0,Q,2015,27
26 - 35,0,None,0,White,Black or African American,1,None,0,Q,2015,27
26 - 35,0,None,0,White,White,1,None,0,G,2015,38
26 - 35,0,None,0,White,Black or African American,0,None,0,E,2015,35
26 - 35,0,None,0,White,Black or African American,0,None,0,W,2015,43
26 - 35,0,None,0,White,Hispanic,0,None,0,D,2015,48
26 - 35,0,None,0,White,Black or African American,0,None,0,M,2015,29
26 - 35,0,None,0,White,White,0,None,1,O,2015,25
26 - 35,0,None,0,White,White,0,None,0,O,2015,35
26 - 35,0,None,0,White,White,0,None,0,99,2015,26
26 - 35,0,None,0,Hispanic or Latino,Black or African American,0,None,0,L,2015,30
26 - 35,0,None,0,White,White,1,None,0,G,2015,38
26 - 35,0,None,0,White,White,1,None,0,U,2015,27
26 - 35,0,None,0,White,White,1,None,0,U,2015,27
26 - 35,0,None,0,White,White,0,None,0,E,2015,36
26 - 35,0,None,0,White,White,0,None,0,D,2015,29
26 - 35,0,None,0,White,White,0,None,0,S,2015,42
26 - 35,0,None,1,Black or African American,White,0,None,0,L,2015,34
26 - 35,0,None,0,White,Black or African American,1,None,0,M,2015,33
26 - 35,0,None,0,White,Black or African American,0,None,0,W,2015,36
26 - 35,0,None,0,White,Hispanic,0,None,0,L,2015,28
26 - 35,0,None,0,White,Black or African American,1,None,0,W,2015,36
26 - 35,0,None,0,White,White,0,None,1,M,2015,24
26 - 35,0,None,0,White,Black or African American,0,None,0,S,2015,40
26 - 35,0,Firearm,0,White,Black or African American,0,None,1,S,2015,47
26 - 35,0,None,0,White,White,0,None,0,M,2015,41
26 - 35,0,None,0,American Indian/Alaska Native,Black or African American,1,None,0,O,2015,37
26 - 35,0,None,0,White,Black or African American,0,None,0,K,2015,30
26 - 35,0,None,0,White,White,1,None,0,M,2015,47
26 - 35,0,None,0,White,White,1,None,0,K,2015,33
26 - 35,0,None,0,White,Hispanic,0,None,0,Q,2015,36
26 - 35,0,None,0,White,White,0,None,0,U,2015,32
26 - 35,0,None,0,White,Multi-Racial,0,None,0,J,2015,34
26 - 35,0,None,0,White,Hispanic,0,None,0,D,2015,35
26 - 35,0,Blade,1,White,White,0,None,1,F,2015,29
26 - 35,0,None,1,White,Black or African American,0,None,0,N,2015,39
26 - 35,0,None,0,White,White,0,None,0,U,2015,49
26 - 35,0,Blade,0,White,Black or African American,0,None,1,D,2015,28
26 - 35,0,None,0,White,Black or African American,0,None,0,U,2015,36
26 - 35,0,None,0,White,Black or African American,1,None,0,R,2015,56
26 - 35,0,None,0,White,Hispanic,1,None,0,D,2015,35
26 - 35,0,None,0,Black or African American,White,0,None,0,E,2015,48
26 - 35,0,None,0,White,Black or African American,0,None,1,K,2015,46
26 - 35,0,None,0,White,White,0,None,1,R,2015,53
26 - 35,0,None,0,White,White,0,None,1,R,2015,56
26 - 35,0,None,0,White,Multi-Racial,0,None,0,N,2015,53
26 - 35,0,None,1,Two or More Races,Multi-Racial,0,None,0,L,2015,37
26 - 35,0,None,0,White,White,0,None,0,G,2015,33
26 - 35,0,None,0,White,Black or African American,0,None,0,B,2015,31
26 - 35,0,None,0,White,Asian,0,None,0,F,2015,29
26 - 35,0,None,0,White,White,0,None,0,U,2015,42
26 - 35,0,None,0,White,Multi-Racial,0,None,0,G,2015,44
26 - 35,1,None,0,White,White,0,None,1,Q,2015,24
26 - 35,0,None,0,White,White,1,None,0,R,2015,44
26 - 35,0,None,0,White,White,0,None,0,R,2015,51
26 - 35,0,None,1,White,White,1,None,0,O,2015,45
26 - 35,0,None,0,White,White,0,None,0,N,2015,55
26 - 35,0,None,0,White,Black or African American,0,None,0,D,2015,37
26 - 35,0,None,0,White,American Indian or Alaska Native,0,None,0,N,2015,42
26 - 35,0,None,0,White,White,0,None,0,W,2015,36
26 - 35,0,None,0,White,White,1,None,0,S,2015,39
26 - 35,0,None,0,White,White,0,None,0,R,2015,33
26 - 35,0,None,0,White,White,0,None,0,S,2015,45
26 - 35,0,None,0,White,Asian,0,None,0,K,2015,29
26 - 35,0,None,0,White,White,0,None,1,L,2015,35
26 - 35,0,None,0,White,Black or African American,0,None,0,K,2015,30
26 - 35,0,None,0,Two or More Races,White,0,None,0,N,2015,33
26 - 35,0,None,0,Black or African American,Hispanic,0,None,0,K,2015,55
26 - 35,0,None,0,White,White,1,None,0,Q,2015,32
26 - 35,0,None,0,White,White,0,None,0,Q,2015,32
26 - 35,0,None,0,White,White,0,None,0,Q,2015,32
26 - 35,0,None,0,White,White,1,None,0,B,2015,56
26 - 35,0,None,0,White,White,0,None,0,D,2015,29
26 - 35,0,None,0,Asian,White,1,None,0,B,2015,39
26 - 35,0,None,0,Asian,American Indian or Alaska Native,0,None,0,B,2015,39
26 - 35,0,None,1,White,White,0,None,0,L,2015,48
26 - 35,0,None,0,White,White,0,None,0,O,2015,37
26 - 35,0,None,0,White,American Indian or Alaska Native,1,None,0,D,2015,34
26 - 35,0,None,0,American Indian/Alaska Native,White,1,None,0,M,2015,50
26 - 35,0,None,1,White,Multi-Racial,1,None,0,R,2015,58
26 - 35,0,None,0,Black or African American,Black or African American,0,None,0,L,2015,30
26 - 35,0,None,0,White,Black or African American,0,None,0,N,2015,30
26 - 35,0,None,0,Black or African American,Black or African American,0,None,0,U,2015,30
26 - 35,0,None,0,White,White,0,None,0,E,2015,34
26 - 35,0,None,0,White,White,0,None,0,F,2015,39
26 - 35,0,None,0,White,American Indian or Alaska Native,0,None,0,D,2015,34
26 - 35,0,None,0,White,White,0,None,0,N,2015,30
26 - 35,0,None,0,White,White,1,None,0,S,2015,53
26 - 35,0,None,0,Asian,White,0,None,0,Q,2015,31
26 - 35,0,None,0,White,White,0,None,0,B,2015,30
26 - 35,0,None,0,White,Black or African American,0,None,0,Q,2015,30
26 - 35,0,None,0,White,White,1,None,0,C,2015,45
26 - 35,0,None,0,Two or More Races,White,0,None,1,B,2015,27
26 - 35,0,None,0,White,White,0,None,0,F,2015,26
26 - 35,0,None,0,White,White,1,None,0,L,2015,35
26 - 35,0,None,0,White,White,1,None,0,G,2015,36
26 - 35,0,None,0,White,White,1,None,0,W,2015,48
26 - 35,0,None,0,White,White,0,None,0,J,2015,30
26 - 35,0,None,0,White,White,0,None,0,G,2015,35
26 - 35,0,None,0,White,White,0,None,0,C,2015,45
26 - 35,0,None,0,White,Black or African American,0,None,1,W,2015,54
26 - 35,0,None,0,White,White,0,None,0,G,2015,35
26 - 35,0,None,0,White,White,1,None,0,O,2015,29
26 - 35,0,None,0,White,White,0,None,0,K,2015,26
26 - 35,0,None,0,White,Hispanic,0,None,0,B,2015,56
26 - 35,0,None,0,White,Black or African American,0,None,0,F,2015,61
26 - 35,0,None,0,White,Hispanic,0,None,0,G,2015,30
26 - 35,0,None,0,Two or More Races,White,0,None,0,C,2015,27
26 - 35,0,None,0,White,White,0,None,0,N,2015,31
26 - 35,0,None,0,White,White,0,None,0,G,2015,29
26 - 35,0,None,0,Black or African American,White,1,None,0,E,2015,48
26 - 35,0,None,0,White,White,0,None,0,U,2015,45
26 - 35,0,None,0,White,White,1,None,0,U,2015,31
26 - 35,0,None,0,Asian,White,0,None,0,Q,2015,30
26 - 35,0,None,0,White,White,1,None,0,W,2015,42
26 - 35,0,None,0,White,Black or African American,0,None,0,W,2015,42
26 - 35,0,None,0,White,Black or African American,0,None,0,C,2015,35
26 - 35,0,None,0,White,Black or African American,0,None,0,U,2015,44
26 - 35,0,None,0,White,White,0,None,0,W,2015,42
26 - 35,0,None,0,Asian,White,0,None,0,S,2015,55
26 - 35,0,None,0,White,White,0,None,0,L,2015,38
26 - 35,0,None,0,White,White,0,None,0,W,2015,41
26 - 35,0,None,0,White,White,0,None,0,S,2015,53
26 - 35,0,None,0,Black or African American,White,0,None,0,G,2015,30
26 - 35,0,None,0,Black or African American,Black or African American,1,None,0,R,2015,30
26 - 35,0,None,0,White,Black or African American,0,None,0,U,2015,29
26 - 35,0,None,1,White,Black or African American,0,None,0,J,2015,30
26 - 35,0,None,0,White,White,0,None,0,R,2015,24
26 - 35,0,None,0,White,White,1,None,0,S,2015,27
26 - 35,1,None,0,Nat Hawaiian/Oth Pac Islander,Black or African American,0,None,0,E,2015,25
26 - 35,0,None,0,White,White,0,None,0,N,2015,27
26 - 35,0,None,0,White,White,0,None,0,N,2015,27
26 - 35,0,None,0,White,White,0,None,0,E,2015,48
26 - 35,0,None,0,White,White,0,None,0,G,2015,28
26 - 35,0,None,0,White,White,0,None,0,B,2015,30
26 - 35,0,None,0,Black or African American,White,0,None,0,U,2015,32
26 - 35,0,None,0,White,White,0,None,0,C,2015,54
26 - 35,0,None,0,White,White,1,None,0,C,2015,54
26 - 35,0,None,0,White,White,0,None,0,B,2015,28
26 - 35,0,None,0,White,White,0,None,0,W,2015,33
26 - 35,1,None,0,White,Black or African American,0,None,0,E,2016,54
26 - 35,1,None,0,White,White,0,None,0,M,2015,35
26 - 35,1,None,0,White,Black or African American,0,None,0,E,2016,54
26 - 35,0,None,0,White,Black or African American,0,0,0,G,2015,31
26 - 35,1,None,0,White,White,0,0,0,C,2015,42
26 - 35,0,None,0,American Indian/Alaska Native,White,0,0,0,E,2015,32
26 - 35,1,None,0,White,Black or African American,0,0,0,G,2015,37
26 - 35,0,None,1,White,Black or African American,0,0,1,G,2015,29
26 - 35,0,None,0,White,White,0,0,0,E,2015,42
26 - 35,1,None,0,White,White,0,None,0,U,2015,42
26 - 35,0,None,0,Nat Hawaiian/Oth Pac Islander,Black or African American,0,0,0,C,2015,40
26 - 35,0,None,0,Black or African American,White,0,0,0,C,2015,48
26 - 35,0,None,1,White,White,1,0,0,G,2015,29
26 - 35,0,None,0,White,White,0,0,1,E,2015,38
26 - 35,1,None,0,White,Black or African American,0,0,0,K,2015,44
26 - 35,0,None,0,White,White,0,0,0,G,2015,31
26 - 35,0,None,0,White,White,0,1,0,E,2015,38
26 - 35,0,None,1,White,White,1,0,0,G,2015,29
26 - 35,0,None,0,White,White,0,0,1,K,2015,29
26 - 35,1,Blade,0,White,White,0,1,0,E,2015,52
26 - 35,0,None,0,White,Black or African American,1,0,0,G,2015,37
26 - 35,1,None,0,White,White,0,None,0,B,2016,26
26 - 35,0,None,0,White,Black or African American,1,None,0,S,2015,37
26 - 35,0,None,1,White,White,1,0,0,G,2015,41
26 - 35,0,None,1,White,Black or African American,0,0,0,G,2015,29
26 - 35,0,None,0,White,White,0,None,0,N,2015,41
26 - 35,0,None,0,White,White,0,None,0,F,2015,48
26 - 35,1,None,0,White,Black or African American,0,None,0,M,2015,35
26 - 35,1,None,0,White,White,0,None,0,M,2015,35
26 - 35,0,None,0,White,White,0,1,0,E,2015,38
26 - 35,1,None,0,White,White,0,0,0,C,2015,48
26 - 35,0,None,0,White,White,0,0,1,K,2015,29
26 - 35,0,None,0,White,White,1,0,0,G,2015,33
26 - 35,0,None,0,White,White,0,0,0,E,2015,24
26 - 35,0,None,1,White,Black or African American,0,0,0,G,2015,30
26 - 35,1,None,0,White,White,0,None,0,M,2015,46
26 - 35,1,None,0,White,White,0,1,0,E,2015,54
26 - 35,1,None,0,White,White,0,None,1,D,2016,32
26 - 35,0,None,0,White,White,1,1,0,E,2015,32
26 - 35,0,None,0,Two or More Races,White,1,None,0,M,2015,27
26 - 35,0,None,0,White,Black or African American,0,1,0,J,2015,31
26 - 35,0,None,0,White,White,0,0,0,G,2015,49
26 - 35,0,None,1,White,White,0,0,0,C,2015,33
26 - 35,1,Blade,0,White,White,0,None,1,E,2015,54
26 - 35,0,None,0,White,Black or African American,0,0,1,K,2015,42
26 - 35,1,None,0,American Indian/Alaska Native,White,0,None,0,Q,2015,44
26 - 35,0,None,0,White,Black or African American,1,0,0,K,2015,28
26 - 35,0,None,0,White,Asian,0,1,0,E,2015,31
26 - 35,0,None,0,White,White,0,0,1,E,2015,32
26 - 35,1,None,0,Two or More Races,White,0,None,0,M,2015,27
26 - 35,1,None,0,White,White,0,1,0,E,2015,38
26 - 35,0,None,0,White,White,0,1,0,F,2015,30
26 - 35,1,None,0,White,White,0,0,1,C,2015,42
26 - 35,0,None,0,American Indian/Alaska Native,Black or African American,1,0,0,E,2015,32
26 - 35,1,None,0,White,White,0,0,1,G,2015,25
26 - 35,1,None,1,White,White,0,1,0,E,2015,54
26 - 35,0,None,0,White,Black or African American,0,0,0,E,2015,42
26 - 35,0,None,0,White,White,0,0,0,E,2015,38
26 - 35,0,None,0,White,White,1,1,0,E,2015,56
26 - 35,0,None,0,White,White,0,0,0,B,2015,47
26 - 35,1,Firearm,0,White,Black or African American,0,1,1,S,2015,50
26 - 35,0,None,0,Black or African American,Hispanic,0,0,0,N,2015,45
26 - 35,0,None,0,White,White,1,1,0,N,2015,35
26 - 35,0,None,0,White,Black or African American,0,1,0,N,2015,35
26 - 35,0,None,0,White,Black or African American,0,0,0,F,2015,37
26 - 35,0,None,0,White,Black or African American,1,0,0,F,2015,37
26 - 35,0,None,0,Hispanic or Latino,Black or African American,0,1,1,K,2015,52
26 - 35,1,None,0,White,White,0,0,1,C,2015,38
26 - 35,0,None,0,White,White,0,0,0,L,2015,46
26 - 35,0,None,1,White,Asian,0,0,0,R,2015,44
26 - 35,0,None,0,White,White,0,0,0,B,2015,34
26 - 35,0,None,0,White,White,1,0,0,U,2015,34
26 - 35,0,None,0,White,White,1,0,0,C,2015,31
26 - 35,0,None,0,White,Black or African American,0,1,1,S,2015,35
26 - 35,0,Blade,1,White,White,0,0,1,O,2015,28
26 - 35,0,None,0,White,White,1,0,0,D,2015,33
26 - 35,0,None,1,White,White,0,0,0,M,2015,26
26 - 35,0,None,0,White,White,0,None,0,N,2015,28
26 - 35,0,None,0,White,Black or African American,0,0,0,B,2015,32
26 - 35,0,None,0,White,White,1,0,0,U,2015,25
26 - 35,0,None,0,White,White,0,1,1,E,2015,38
26 - 35,1,None,0,White,White,1,0,0,O,2015,44
26 - 35,1,None,0,Nat Hawaiian/Oth Pac Islander,Black or African American,0,0,1,F,2015,33
26 - 35,0,None,0,Asian,Black or African American,0,0,1,R,2015,53
26 - 35,1,None,0,White,White,0,0,0,C,2015,38
26 - 35,0,None,0,Nat Hawaiian/Oth Pac Islander,White,1,0,0,F,2015,33
26 - 35,0,None,1,White,White,0,0,0,M,2015,38
26 - 35,0,None,0,White,Black or African American,1,0,0,S,2015,25
26 - 35,0,None,1,White,White,0,0,0,M,2015,23
26 - 35,0,Blade,0,Two or More Races,Multi-Racial,1,0,0,K,2015,33
26 - 35,0,None,0,White,American Indian or Alaska Native,0,0,0,B,2015,61
26 - 35,0,None,0,White,Black or African American,0,0,1,E,2015,38
26 - 35,1,None,0,White,Black or African American,0,0,1,L,2015,36
26 - 35,0,None,1,White,White,0,1,0,E,2015,29
26 - 35,0,None,0,White,Black or African American,0,0,1,R,2015,25
